"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 11 14:04:23 GMT 2020","Sun Oct 11 14:04:24 GMT 2020","701","","","","","","Putting price and sum from depth table into trade form -- @1.1 ",""
"passed","Sun Oct 11 14:04:28 GMT 2020","Sun Oct 11 14:04:28 GMT 2020","385","","","","","","Calculating total in trade form -- @1.5 ",""
"passed","Sun Oct 11 14:04:24 GMT 2020","Sun Oct 11 14:04:25 GMT 2020","540","","","","","","Putting price and sum from depth table into trade form -- @1.2 ",""
"passed","Sun Oct 11 14:04:29 GMT 2020","Sun Oct 11 14:04:30 GMT 2020","1392","","","","","","Testing the 9-day forecast API",""
"passed","Sun Oct 11 14:04:25 GMT 2020","Sun Oct 11 14:04:25 GMT 2020","523","","","","","","Putting price and sum from depth table into trade form -- @1.3 ",""
"passed","Sun Oct 11 14:04:28 GMT 2020","Sun Oct 11 14:04:29 GMT 2020","383","","","","","","Calculating total in trade form -- @1.6 ",""
"passed","Sun Oct 11 14:04:27 GMT 2020","Sun Oct 11 14:04:28 GMT 2020","438","","","","","","Calculating total in trade form -- @1.4 ",""
"passed","Sun Oct 11 14:04:27 GMT 2020","Sun Oct 11 14:04:27 GMT 2020","511","","","","","","Calculating total in trade form -- @1.3 ",""
"passed","Sun Oct 11 14:04:25 GMT 2020","Sun Oct 11 14:04:26 GMT 2020","381","","","","","","Putting price and sum from depth table into trade form -- @1.4 ",""
"passed","Sun Oct 11 14:04:17 GMT 2020","Sun Oct 11 14:04:23 GMT 2020","6780","","","","","","Accessing trade page about CRO/USDC",""
"passed","Sun Oct 11 14:04:26 GMT 2020","Sun Oct 11 14:04:26 GMT 2020","496","","","","","","Calculating total in trade form -- @1.1 ",""
"passed","Sun Oct 11 14:04:26 GMT 2020","Sun Oct 11 14:04:27 GMT 2020","853","","","","","","Calculating total in trade form -- @1.2 ",""
